e
SOUR Chain
BITTER Necklace M
SWEET Polo E-R1
SWEET ZipUp
SWEET Ninja
SOUR Noodles
SOUR Tie R1
BITTER Obi R1
BITTER Norice R2
SWEET Lee R2
BITTER Dorae
BITTER Ricesuki R2
BITTER Toto R1
SOUR Puffer L-R2
UMAMI Saiya R1
SALTY Scarf R2
SWEET Polo A-R4
SALTY Caro R1
SOUR Garo R1
SWEET Puffer R1
SOUR Vest R1
SWEET Jacket R1
UMAMI Puffer R3
SALTY Barbour R1
BITTER Sky
SALTY Racer R1
SWEET Polo A-R3
SWEET Cargo R2
BITTER Mahjong R2
SWEET Polo L-R2
SALTY Fleece R3
BITTER Gao R1
BITTER Tamachi R1
SALTY Fleece R1
SALTY Puffer R2
SWEET Trench C-R2
BITTER Juzu R1
UMAMI Flamingo R1
SOUR Polo B-R1
SALTY Racer R2
SALTY Jacket R4
SALTY Cargo R1
SWEET Trench C-R3
UMAMI Fur C-R1
SOUR Skeleton
SOUR Dungaree
SOUR Jacket P-R1
BITTER Ricesama
SALTY Cowboy
SWEET Hoodie
SWEET Polo A-R2
SWEET Uncle R
BITTER Necklace S
SOUR Jacket R5
SOUR Mighty
UMAMI Mighty G
UMAMI Eva R1
UMAMI Eva R2
UMAMI Eva R3
UMAMI Quanho
UMAMI Trench C-R5
UMAMI Trench C-R6
SOUR Jacket P-R2
BITTER Obi R2
BITTER Norice R1
SWEET Lee R1
BITTER Ricesuki R1
BITTER Toto R2
SOUR Puffer L-R1
UMAMI Saiya RABW
SALTY Scarf R1
SWEET Polo A-R1
SALTY Caro R2
SOUR Garo R2
UMAMI Puffer R5
SOUR Vest R2
SWEET Jacket R3
UMAMI Puffer RABW
SALTY Barbour R2
SOUR Tie R2
SALTY Racer R3
SWEET Polo A-R5
SALTY Cargo R3
BITTER Mahjong R1
SWEET Polo L-R1
SALTY Fleece R4
UMAMI Gao RABW
BITTER Tamachi R2
SOUR Fleece R2
UMAMI Puffer R4
SALTY Trench C-R1
UMAMI Juzu R2
UMAMI Flamingo R2
BITTER Polo B-R2
SALTY Racer R4
SOUR Jacket R2
SALTY Cargo R4
SOUR Trench C-R4
UMAMI Fur C-RABW
extra
